[0.000000] (-) TimerEvent: {}
[0.000114] (micro_ros_setup) JobQueued: {'identifier': 'micro_ros_setup', 'dependencies': OrderedDict()}
[0.138303] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/share/ament_index/resource_index/parent_prefix_path/micro_ros_setup\n'}
[0.138621] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.sh\n'}
[0.138727] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.dsv\n'}
[0.138818] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/share/micro_ros_setup/environment/path.sh\n'}
[0.138903] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/share/micro_ros_setup/environment/path.dsv\n'}
[0.138993] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.bash\n'}
[0.139218] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.sh\n'}
[0.139311] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.zsh\n'}
[0.139389] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.dsv\n'}
[0.139467] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/share/micro_ros_setup/package.dsv\n'}
[0.139543] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/share/ament_index/resource_index/packages/micro_ros_setup\n'}
[0.139628] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/share/micro_ros_setup/cmake/micro_ros_setupConfig.cmake\n'}
[0.139713] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/share/micro_ros_setup/cmake/micro_ros_setupConfig-version.cmake\n'}
[0.139794] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/share/micro_ros_setup/package.xml\n'}
[0.139879] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config\n'}
[0.140019] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/mbed\n'}
[0.140103] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/mbed/list_apps.sh\n'}
[0.140183] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/mbed/dev_uros_packages.repos\n'}
[0.140305] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/mbed/dev_ros2_packages.txt\n'}
[0.140389] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/mbed/generic\n'}
[0.140472] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/mbed/generic/flash.sh\n'}
[0.140554] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/mbed/generic/create.sh\n'}
[0.140636] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/mbed/generic/build.sh\n'}
[0.140747] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/mbed/generic/board.repos\n'}
[0.140912] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/mbed/generic/client_uros_packages.repos\n'}
[0.140995] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/mbed/generic/package.xml\n'}
[0.141096] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/mbed/generic/supported_platforms\n'}
[0.141180] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/client_ros2_packages.txt\n'}
[0.141264] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/utils.sh\n'}
[0.141348] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/agent_uros_packages.repos\n'}
[0.141427] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/client_uros_packages.repos\n'}
[0.141510] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/host\n'}
[0.141655] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/host/client_ros2_packages.txt\n'}
[0.141736] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/host/dev_uros_packages.repos\n'}
[0.141816] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/host/dev_ros2_packages.txt\n'}
[0.141898] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/host/generic\n'}
[0.141980] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/host/generic/flash.sh\n'}
[0.142141] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/host/generic/create.sh\n'}
[0.142222] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/host/generic/build.sh\n'}
[0.142305] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/host/generic/client_host_packages.repos\n'}
[0.142388] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/host/generic/client-host-colcon.meta\n'}
[0.142510] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/host/generic/package.xml\n'}
[0.142592] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/zephyr\n'}
[0.142670] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/zephyr/list_apps.sh\n'}
[0.142747] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/zephyr/dev_uros_packages.repos\n'}
[0.142877] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/zephyr/dev_ros2_packages.txt\n'}
[0.142953] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/zephyr/generic\n'}
[0.143032] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/zephyr/generic/client-colcon.meta\n'}
[0.143109] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/zephyr/generic/flash.sh\n'}
[0.143187] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/zephyr/generic/create.sh\n'}
[0.143264] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/zephyr/generic/build.sh\n'}
[0.143341] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/zephyr/generic/board.repos\n'}
[0.143418] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/zephyr/generic/client_uros_packages.repos\n'}
[0.143496] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/zephyr/generic/package.xml\n'}
[0.143572] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/zephyr/generic/supported_platforms\n'}
[0.143648] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/zephyr/generic/configure.sh\n'}
[0.143724] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/renesas_ra\n'}
[0.143801] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/renesas_ra/list_apps.sh\n'}
[0.143879] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/renesas_ra/dev_uros_packages.repos\n'}
[0.143957] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5\n'}
[0.144033] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/client-colcon.meta\n'}
[0.144110] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/flash.sh\n'}
[0.144187] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/create.sh\n'}
[0.144263] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/build.sh\n'}
[0.144339] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/board.repos\n'}
[0.144416] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/client_uros_packages.repos\n'}
[0.144493] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/configure.sh\n'}
[0.144569] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/renesas_ra/dev_ros2_packages.txt\n'}
[0.144647] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/android\n'}
[0.144753] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/android/dev_uros_packages.repos\n'}
[0.144962] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/android/dev_ros2_packages.txt\n'}
[0.145068] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/android/generic\n'}
[0.145157] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/android/generic/client-colcon.meta\n'}
[0.145233] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/android/generic/flash.sh\n'}
[0.145313] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/android/generic/create.sh\n'}
[0.145392] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/android/generic/build.sh\n'}
[0.145471] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/android/generic/client_uros_packages.repos\n'}
[0.145548] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/android/generic/package.xml\n'}
[0.145627] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/generate_lib\n'}
[0.145706] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/generate_lib/dev_uros_packages.repos\n'}
[0.145782] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/generate_lib/dev_ros2_packages.txt\n'}
[0.145860] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/generate_lib/generic\n'}
[0.145938] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/generate_lib/generic/client-colcon.meta\n'}
[0.146029] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/generate_lib/generic/flash.sh\n'}
[0.146201] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/generate_lib/generic/create.sh\n'}
[0.146284] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/generate_lib/generic/demo_toolchain.cmake\n'}
[0.146362] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/generate_lib/generic/build.sh\n'}
[0.146439] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/generate_lib/generic/client_uros_packages.repos\n'}
